user_id,username,hosted,guested,total
4270973,EdamaMe411,3,3,6
4433058,sendol,6,0,6
4469725,m421,4,2,6
5082685,POCARI SWEAT,3,3,6
5136582,taiko_ryuki,3,3,6
5538419,Oui,4,2,6
7047319,,6,0,6
7109317,YonGin,1,5,6
7491210,Deathwing1306,5,1,6
8316352,Zedther,3,3,6
8712289,h3oCharles,2,4,6
10324016,Bujinn,2,4,6
10869389,makimen,3,3,6
13135192,Faelynn,5,1,6
15452790,fiscia,4,2,6
17916791,Snapcaster Mage,5,1,6
22515524,Creeperbrine303,4,2,6
2363,DJPop,4,1,5
28551,Frank7654321,0,5,5
36749,Zekira,3,2,5
125308,Tomoka Rin,3,2,5
408461,cmn_891127,2,3,5
654108,Aurele,1,4,5
686389,Makar,1,4,5
704111,Rei Hakurei,0,5,5
838176,ts8zs,0,5,5
896613,Lasse,5,0,5
961752,Kayano,1,4,5
1416484,Aldwych,4,1,5
1981781,,5,0,5
2036503,Yummy-,4,1,5
2350722,snowball112,3,2,5
2615199,Atreevete,2,3,5
2875968,asuasu_yura,2,3,5
3181083,AJT,4,1,5
3701008,newyams99,3,2,5
4637369,Petit,2,3,5
6205471,Shallty,2,3,5
7003484,C5H10,0,5,5
7157133,_yosh,0,5,5
7418493,Kibitz,2,3,5
7850538,ilv_Rem,1,4,5
9079969,Koxiuuu,4,1,5
9086438,TaikoMom,4,1,5
9383908,SakurabaEmma,3,2,5
9582525,Kappu,2,3,5
9864847,overdahedge2015,1,4,5
10238680,chromb,2,3,5
10457907,KyouRekii87,4,1,5
10476879,KeyWee,4,1,5
11294546,G G G G G,5,0,5
11562923,0gg,3,2,5
11880324,Miunagi,3,2,5
12052009,Ratchet0203,4,1,5
12589048,Vaf,5,0,5
13600684,kdj8381,2,3,5
15470246,,4,1,5
15821708,Sebola,5,0,5
17741163,DEtermination21,5,0,5
17797595,Meguminx_MAS,3,2,5
18597899,arialle,4,1,5
19148438,K8107,2,3,5
19728707,lowelo random,1,4,5
21719026,Toa Narumi,3,2,5
22748140,doops,3,2,5
27018825,1208,5,0,5
27745918,Zennan,4,1,5
28867143,6_4,0,5,5
31308751,awaoooooooooi,3,2,5
31346265,AndreyChomik,2,3,5
25999,Diasios,4,0,4
87546,Akiyama Mizuki,1,3,4
116078,Cyclohexane,2,2,4
150768,LKs,3,1,4
180594,littlecar3370,0,4,4
233271,zsr123,0,4,4
244216,Garven,1,3,4
347691,Zelos,2,2,4
502722,Cookie_Tree,4,0,4
554976,Myckoll,0,4,4
596298,Kawayi Rika,3,1,4
643394,Snow Note,3,1,4
663131,Loneight,2,2,4
676578,S a n d,4,0,4
684730,Xakyrie,0,4,4
700887,Chino,2,2,4
835998,cRyo[iceeicee],4,0,4
904187,hibarirailwayz,0,4,4
959763,Flask,4,0,4
1225403,Cuvelia,0,4,4
1319686,Kagami Yuki,1,3,4
1331438,Dolphin,1,3,4
1521445,Xinely,2,2,4
1603962,Touche,1,3,4
1997633,Lliria,4,0,4
2065771,Senko-san,3,1,4
2345156,Mew,2,2,4
2478693,kouzuki_karen,4,0,4
2488026,rew0825,1,3,4
2594229,ghm12,1,3,4
3083539,Minami-Kotori,2,2,4
3220708,Pamela Ibis,2,2,4
3579473,Ladies Night,2,2,4
3621552,Chaoslitz,2,2,4
3684010,Steins,0,4,4
4438154,Ellyu,3,1,4
4557972,Lamery,1,3,4
4598966,Intelli,3,1,4
4628473,tones,2,2,4
5115345,mafuyun,4,0,4
5143353,Marm,4,0,4
6044237,huu,4,0,4
6193723,Diederich Olsen,0,4,4
6226745,strickluke,3,1,4
6764344,Nepoch,4,0,4
6850949,Remus,3,1,4
6906086,Reverie,3,1,4
6956922,frz,3,1,4
7288862,-jordan-,2,2,4
7301817,Eryzr,1,3,4
8092686,Time Freeze,3,1,4
8256770,_Illustrious_,1,3,4
8693179,[Paw]OchiKouri,1,3,4
8767392,ILOVEMARISA,1,3,4
8959673,_MMMMMM_MMMMMM_,2,2,4
9416836,wafer,4,0,4
10021819,Minion24,4,0,4
10743013,meloge,0,4,4
11447466,Issuko,2,2,4
12498861,kodak moment,2,2,4
12642144,pottee,2,2,4
12941916,Uzawa Reisa,4,0,4
13245261,announcerf,2,2,4
14623658,supesan,3,1,4
15312155,,4,0,4
16845442,Lucho,3,1,4
17628079,scrawrlet,0,4,4
18456592,Hata no Kokoro,4,0,4
18460502,imyx,3,1,4
19647032,xornado,1,3,4
19753773,PentagonGlxy,3,1,4
20198306,sobakaa,2,2,4
22172595,hirothefemboy,1,3,4
25695490,W-108,4,0,4
30109442,Hataya,4,0,4
32806310,[T14]alicetier_,1,3,4
6537,aquabluu,3,0,3
9610,niedz,1,2,3
29029,Jak64,0,3,3
36102,Nyan,0,3,3
49031,Nashmun,2,1,3
63671,Lokamp,0,3,3
121337,Roddie,3,0,3
123938,Revengexsoyah,0,3,3
134572,Kite,2,1,3
219282,qinche,2,1,3
220939,ertyukjh010,3,0,3
251683,Musty,1,2,3
284905,Ekoro,0,3,3
298328,jomnhnk,0,3,3
323677,Shino,1,2,3
353453,MineC24,2,1,3
376831,wcx19911123,3,0,3
446548,Zorlok_,1,2,3
502298,TristanShi,0,3,3
515967,Ulysses,3,0,3
579512,biwako,3,0,3
593215,merchat7,3,0,3
631530,Leader,3,0,3
661420,shikyu,2,1,3
678794,10nya,1,2,3
858416,meetmeetdee,1,2,3
1026904,leo16834,1,2,3
1258160,Cygnus,3,0,3
1280801,KantoKun,0,3,3
1443297,,3,0,3
1465290,- SB DangYang -,0,3,3
1488736,ll-oscar,2,1,3
1738436,MidSoul,0,3,3
1856463,IamKwaN,0,3,3
1900787,Lno,1,2,3
1926383,Chupalika,1,2,3
1977606,stu00608,0,3,3
2543764,Kbludoh,3,0,3
2648029,streeteelf,2,1,3
2706438,Monstrata,2,1,3
2850983,Pachiru,3,0,3
2900881,FastBoy,3,0,3
2988243,wasonz,2,1,3
3053283,,3,0,3
3076909,Mafumafu,3,0,3
3383404,OtakusRin,3,0,3
3716665,coed,3,0,3
4097035,Garpo,3,0,3
4407678,_knots,1,2,3
4841352,Jaye,3,0,3
5186244,Dellvangel,3,0,3
5241655,Parachor,2,1,3
6050530,Mniam,1,2,3
6391852,Ignas,0,3,3
6410432,,2,1,3
6442010,youtune3,2,1,3
7239762,Vasyadogs,3,0,3
7453536,EJ__,0,3,3
7563054,Taka030,3,0,3
8273098,My Angel Koishi,1,2,3
8638977,CrowWhite,3,0,3
